names,word,n,total,tf,idf,tf_idf
Article 2,floodwaters,3,931,0.006237006237006237,2.302585092994046,0.014361237586241452
Article 2,happen,3,931,0.006237006237006237,1.2039728043259361,0.007509185889766754
Article 2,home,3,931,0.006237006237006237,1.2039728043259361,0.007509185889766754
Article 2,injustice,3,931,0.006237006237006237,2.302585092994046,0.014361237586241452
Article 2,orleans,3,931,0.006237006237006237,2.302585092994046,0.014361237586241452
Article 2,rising,3,931,0.006237006237006237,0.9162907318741551,0.005714911009610115
Article 2,sierra,3,931,0.006237006237006237,2.302585092994046,0.014361237586241452
Article 2,virginia,3,931,0.006237006237006237,1.2039728043259361,0.007509185889766754
Article 2,wentz,3,931,0.006237006237006237,2.302585092994046,0.014361237586241452
Article 3,carbon,3,835,0.007334963325183374,0.22314355131420976,0.001636749765140903
Article 3,due,3,835,0.007334963325183374,1.2039728043259361,0.00883109636424892
Article 3,forest,3,835,0.007334963325183374,2.302585092994046,0.016889377210225275
Article 3,lost,3,835,0.007334963325183374,0.6931471805599453,0.005084209148361457
Article 3,north,3,835,0.007334963325183374,1.2039728043259361,0.00883109636424892
Article 3,quality,3,835,0.007334963325183374,1.2039728043259361,0.00883109636424892
Article 3,wildfires,3,835,0.007334963325183374,0.9162907318741551,0.0067209589135023605
Article 4,baltimore,3,634,0.010067114093959731,2.302585092994046,0.02318038684222194
Article 4,billion,3,634,0.010067114093959731,0.9162907318741551,0.009224403341014984
Article 4,countries,3,634,0.010067114093959731,2.302585092994046,0.02318038684222194
Article 4,farmers,3,634,0.010067114093959731,1.6094379124341003,0.016202395091618457
Article 4,green,3,634,0.010067114093959731,1.6094379124341003,0.016202395091618457
Article 4,helping,3,634,0.010067114093959731,1.2039728043259361,0.012120531587173853
Article 4,investments,3,634,0.010067114093959731,2.302585092994046,0.02318038684222194
Article 4,relief,3,634,0.010067114093959731,2.302585092994046,0.02318038684222194
Article 4,services,3,634,0.010067114093959731,1.6094379124341003,0.016202395091618457
Article 5,arrived,3,759,0.007518796992481203,2.302585092994046,0.017312669872135682
Article 5,asthma,3,759,0.007518796992481203,1.6094379124341003,0.012101036935594738
Article 5,disease,3,759,0.007518796992481203,2.302585092994046,0.017312669872135682
Article 5,emergency,3,759,0.007518796992481203,1.6094379124341003,0.012101036935594738
Article 5,hospitals,3,759,0.007518796992481203,2.302585092994046,0.017312669872135682
Article 5,patient,3,759,0.007518796992481203,2.302585092994046,0.017312669872135682
Article 5,power,3,759,0.007518796992481203,2.302585092994046,0.017312669872135682
Article 5,time,3,759,0.007518796992481203,0.5108256237659907,0.0038407941636540654
Article 6,assumptions,3,850,0.007792207792207792,2.302585092994046,0.01794222150384971
Article 6,capital,3,850,0.007792207792207792,1.6094379124341003,0.01254107464234364
Article 6,day,3,850,0.007792207792207792,0.9162907318741551,0.0071399277808375725
Article 6,gather,3,850,0.007792207792207792,2.302585092994046,0.01794222150384971
Article 6,move,3,850,0.007792207792207792,1.2039728043259361,0.009381606267474828
Article 6,researchers,3,850,0.007792207792207792,1.2039728043259361,0.009381606267474828
Article 6,response,3,850,0.007792207792207792,1.6094379124341003,0.01254107464234364
Article 6,rises,3,850,0.007792207792207792,2.302585092994046,0.01794222150384971
